"","id","Value"
"815","dumb",331.8
"816","dumb",331.8
"817","dumb",333.2
"818","dumb",333.2
"819","dumb",333.2
"820","dumb",333.2
"821","dumb",333.2
"822","dumb",334.6
"823","dumb",334.6
"824","dumb",334.6
"825","dumb",334.6
"826","dumb",334.6
"827","dumb",336
"828","dumb",336
"829","dumb",336
"830","dumb",336
"831","dumb",337.4
"832","dumb",337.4
"833","dumb",337.4
"834","dumb",338.8
"835","dumb",338.8
"836","dumb",338.8
"837","dumb",338.8
"838","dumb",338.8
"839","dumb",340.2
"840","dumb",340.2
"841","dumb",340.2
"842","dumb",341.6
"843","dumb",341.6
"844","dumb",343
"845","dumb",343
"846","dumb",343
"847","dumb",344.4
"848","dumb",344.4
"849","dumb",344.4
"850","dumb",345.8
"851","dumb",345.8
"852","dumb",345.8
"853","dumb",345.8
"854","dumb",347.2
"855","dumb",347.2
"856","dumb",347.2
"857","dumb",347.2
"858","dumb",347.2
"859","dumb",347.2
"860","dumb",348.6
"861","dumb",348.6
"862","dumb",348.6
"863","dumb",348.6
"864","dumb",348.6
"865","dumb",348.6
"866","dumb",350
"867","dumb",350
"868","dumb",350
"869","dumb",350
"870","dumb",350
"871","dumb",351.4
"872","dumb",351.4
"873","dumb",351.4
"874","dumb",351.4
"875","dumb",351.4
"876","dumb",351.4
"877","dumb",351.4
"878","dumb",352.8
"879","dumb",352.8
"880","dumb",352.8
"881","dumb",352.8
"882","dumb",352.8
"883","dumb",352.8
"884","dumb",352.8
"885","dumb",354.2
"886","dumb",354.2
"887","dumb",354.2
"888","dumb",354.2
"889","dumb",354.2
"890","dumb",355.6
"891","dumb",355.6
"892","dumb",355.6
"893","dumb",355.6
"894","dumb",355.6
"895","dumb",357
"896","dumb",357
"897","dumb",357
"898","dumb",357
"899","dumb",357
"900","dumb",357
"901","dumb",357
"902","dumb",357
"903","dumb",358.4
"904","dumb",358.4
"905","dumb",358.4
"906","dumb",358.4
"907","dumb",358.4
"908","dumb",358.4
"909","dumb",358.4
"910","dumb",359.8
"911","dumb",359.8
"912","dumb",359.8
"913","dumb",359.8
"914","dumb",359.8
"915","dumb",359.8
"916","dumb",359.8
"917","dumb",361.2
"918","dumb",361.2
"919","dumb",361.2
"920","dumb",361.2
"921","dumb",361.2
"922","dumb",362.6
"923","dumb",362.6
"924","dumb",362.6
"925","dumb",362.6
"926","dumb",364
"927","dumb",364
"928","dumb",364
"929","dumb",365.4
"930","dumb",365.4
"931","dumb",365.4
"932","dumb",366.8
"933","dumb",366.8
"934","dumb",366.8
"935","dumb",368.2
"936","dumb",368.2
"937","dumb",368.2
"938","dumb",369.6
"939","dumb",369.6
"940","dumb",369.6
"941","dumb",369.6
"942","dumb",369.6
"943","dumb",369.6
"944","dumb",371
"945","dumb",371
"946","dumb",371
"947","dumb",371
"948","dumb",371
"949","dumb",371
"950","dumb",371
"951","dumb",371
"952","dumb",372.4
"953","dumb",372.4
"954","dumb",372.4
"955","dumb",372.4
"956","dumb",372.4
"957","dumb",372.4
"958","dumb",372.4
"959","dumb",373.8
"960","dumb",373.8
"961","dumb",373.8
"962","dumb",373.8
"963","dumb",373.8
"964","dumb",375.2
"965","dumb",375.2
"966","dumb",375.2
"967","dumb",375.2
"968","dumb",375.2
"969","dumb",375.2
"970","dumb",375.2
"971","dumb",376.6
"972","dumb",376.6
"973","dumb",376.6
"974","dumb",376.6
"975","dumb",376.6
"976","dumb",376.6
"977","dumb",376.6
"978","dumb",378
"979","dumb",378
"980","dumb",378
"981","dumb",378
"982","dumb",378
"983","dumb",378
"984","dumb",378
"985","dumb",378
"986","dumb",378
"987","dumb",379.4
"988","dumb",379.4
"989","dumb",379.4
"990","dumb",379.4
"991","dumb",379.4
"992","dumb",379.4
"993","dumb",379.4
"994","dumb",379.4
"995","dumb",379.4
"996","dumb",379.4
"997","dumb",379.4
"998","dumb",380.8
"999","dumb",380.8
"1000","dumb",380.8
"1001","dumb",380.8
"1002","dumb",380.8
"1003","dumb",380.8
"1004","dumb",380.8
"1005","dumb",380.8
"1006","dumb",380.8
"1007","dumb",380.8
"1008","dumb",382.2
"1009","dumb",382.2
"1010","dumb",382.2
"1011","dumb",382.2
"1012","dumb",382.2
"1013","dumb",382.2
"1014","dumb",382.2
"1015","dumb",382.2
"1016","dumb",383.6
"1017","dumb",383.6
"1018","dumb",383.6
"1019","dumb",383.6
"1020","dumb",383.6
"1021","dumb",383.6
"1022","dumb",383.6
"1023","dumb",385
"1024","dumb",385
"1025","dumb",385
"1026","dumb",385
"1027","dumb",386.4
"1028","dumb",386.4
"1029","dumb",386.4
"1030","dumb",386.4
"1031","dumb",387.8
"1032","dumb",387.8
"1033","dumb",387.8
"1034","dumb",387.8
"1035","dumb",387.8
"1036","dumb",389.2
"1037","dumb",389.2
"1038","dumb",389.2
"1039","dumb",390.6
"1040","dumb",390.6
"1041","dumb",392
"1042","dumb",392
"1043","dumb",392
"1044","dumb",392
"1045","dumb",392
"1046","dumb",393.4
